UPC	STORE_NUMBER	DATE	DESCRIPTION	UNITS_SOLD
00810453023927      	8	20170701	OPAL W7                             	1.000
00810453023927      	208	20170701	OPAL W7                             	1.000
00810453023149      	216	20170701	NIGHT M13                           	1.000
00810453022722      	217	20170701	GLACIER W8                          	1.000
00810453023934      	221	20170701	OPAL W8                             	1.000
00810453022722      	222	20170701	GLACIER W8                          	1.000
00810453023934      	231	20170701	OPAL W8                             	1.000
00810453023941      	231	20170701	OPAL W9                             	2.000
00810453022715      	233	20170701	GLACIER W7                          	1.000
00810453022715      	236	20170701	GLACIER W7                          	1.000
00810453022609      	242	20170701	COVE W6                             	1.000
00810453023101      	244	20170701	NIGHT M9                            	1.000
00810453022722      	245	20170701	GLACIER W8                          	1.000
00810453023934      	245	20170701	OPAL W8                             	1.000
00810453022722      	246	20170701	GLACIER W8                          	2.000
00810453023934      	246	20170701	OPAL W8                             	3.000
00810453023934      	247	20170701	OPAL W8                             	2.000
00810453023927      	249	20170701	OPAL W7                             	1.000
00810453023941      	251	20170701	OPAL W9                             	1.000
00810453022616      	255	20170701	COVE W7                             	1.000
00810453022708      	255	20170701	GLACIER W6                          	1.000
00810453023132      	255	20170701	NIGHT M12                           	1.000
00810453023941      	257	20170701	OPAL W9                             	1.000
00810453023958      	257	20170701	OPAL W10                            	1.000
00810453023118      	260	20170701	NIGHT M10                           	1.000
00810453023958      	271	20170701	OPAL W10                            	1.000
00810453022616      	274	20170701	COVE W7                             	2.000
00810453023927      	288	20170701	OPAL W7                             	1.000
00810453023958      	303	20170701	OPAL W10                            	1.000
00810453022715      	306	20170701	GLACIER W7                          	1.000
00810453022616      	412	20170701	COVE W7                             	1.000
00810453023910      	415	20170701	OPAL W6                             	1.000
00810453023934      	415	20170701	OPAL W8                             	1.000
00810453023125      	505	20170701	NIGHT M11                           	1.000
00810453022647      	517	20170701	COVE W10                            	1.000
00810453022623      	520	20170701	COVE W8                             	1.000
00810453023934      	521	20170701	OPAL W8                             	1.000
00810453023941      	521	20170701	OPAL W9                             	1.000
00810453023149      	526	20170701	NIGHT M13                           	1.000
00810453023927      	578	20170701	OPAL W7                             	1.000
00810453022722      	579	20170701	GLACIER W8                          	1.000
00810453023934      	701	20170701	OPAL W8                             	1.000